Gender,Grade,Age,Type,Grades,Sports,Looks,Money,Goal
girl,5,10,Suburban,2,3,1,4,Popular
girl,5,10,Suburban,3,2,1,4,Popular
girl,5,10,Suburban,1,3,2,4,Grades
girl,5,11,Suburban,1,3,2,4,Sports
girl,6,11,Suburban,2,3,1,4,Popular
girl,6,11,Suburban,1,3,2,4,Popular
girl,6,11,Suburban,1,3,4,2,Popular
girl,6,11,Suburban,4,1,2,3,Grades
girl,6,11,Suburban,1,2,3,4,Sports
girl,6,11,Suburban,3,4,1,2,Grades
girl,6,13,Suburban,2,4,1,3,Grades
girl,6,11,Suburban,4,2,1,3,Popular
girl,6,11,Suburban,4,3,1,2,Popular
girl,6,11,Suburban,3,4,1,2,Popular
girl,6,12,Suburban,2,3,1,4,Grades
girl,6,11,Suburban,4,3,1,2,Grades
girl,6,11,Suburban,4,3,1,2,Popular
girl,6,11,Suburban,3,2,1,4,Grades
girl,6,11,Suburban,4,3,1,2,Grades
girl,6,11,Suburban,4,1,2,3,Grades
girl,6,11,Suburban,4,3,2,1,Grades
girl,6,11,Suburban,1,2,3,4,Popular
girl,6,12,Suburban,3,1,2,4,Grades
girl,6,11,Suburban,4,3,1,2,Popular
girl,6,12,Suburban,2,3,1,4,Popular
girl,6,11,Suburban,2,1,3,4,Popular
girl,6,11,Suburban,2,3,1,4,Grades
girl,6,11,Suburban,4,3,1,2,Popular
girl,6,11,Suburban,3,2,1,4,Grades
girl,6,11,Suburban,4,2,1,3,Grades
girl,6,11,Suburban,3,4,1,2,Grades
girl,6,11,Suburban,4,3,1,2,Grades
girl,6,12,Suburban,4,3,2,1,Sports
girl,6,11,Suburban,1,3,2,4,Popular
girl,6,11,Suburban,4,2,1,3,Grades
girl,6,11,Suburban,4,3,1,2,Grades
girl,6,12,Suburban,3,2,1,4,Grades
girl,6,12,Suburban,4,2,1,3,Grades
girl,6,11,Suburban,4,2,1,3,Grades
boy,6,11,Suburban,3,1,2,4,Popular
boy,6,12,Suburban,3,1,2,4,Grades
boy,6,11,Suburban,3,2,1,4,Popular
boy,6,11,Suburban,4,2,1,3,Popular
boy,6,12,Suburban,4,1,2,3,Grades
boy,6,12,Suburban,1,3,4,2,Grades
boy,6,11,Suburban,3,1,2,4,Popular
boy,6,12,Suburban,1,2,3,4,Grades
boy,6,12,Suburban,2,1,3,4,Grades
boy,6,12,Suburban,4,3,1,2,Popular
boy,6,12,Suburban,4,1,2,3,Grades
boy,6,11,Suburban,3,1,2,4,Sports
boy,6,11,Suburban,4,1,2,3,Grades
boy,6,11,Suburban,2,1,4,3,Sports
boy,6,12,Suburban,2,1,4,3,Grades
boy,6,11,Suburban,2,1,4,3,Grades
boy,6,11,Suburban,4,1,2,3,Grades
boy,6,12,Suburban,4,1,2,3,Grades
boy,6,11,Suburban,4,1,2,3,Grades
boy,6,11,Suburban,3,1,2,4,Popular
boy,6,12,Suburban,3,1,2,4,Grades
boy,6,12,Suburban,3,1,2,4,Popular
boy,6,11,Suburban,3,1,2,4,Grades
boy,6,12,Suburban,2,1,4,3,Popular
boy,6,11,Suburban,1,2,3,4,Grades
boy,6,12,Suburban,2,1,4,3,Grades
boy,6,11,Suburban,1,2,3,4,Grades
boy,6,12,Suburban,2,1,3,4,Sports
boy,6,11,Suburban,2,1,3,4,Sports
boy,6,11,Suburban,4,1,3,2,Grades
boy,5,11,Suburban,3,2,1,4,Popular
boy,6,11,Suburban,3,2,1,4,Grades
boy,6,11,Suburban,3,1,4,2,Popular
boy,6,11,Suburban,1,2,3,4,Grades
boy,6,12,Suburban,2,3,1,4,Sports
boy,6,11,Suburban,1,2,3,4,Grades
boy,6,12,Suburban,2,1,3,4,Grades
boy,6,11,Suburban,4,3,2,1,Grades
boy,6,12,Suburban,4,1,2,3,Popular
boy,6,12,Suburban,4,1,2,3,Grades
boy,6,12,Suburban,4,3,1,2,Grades
boy,6,12,Suburban,1,2,3,4,Sports
boy,6,13,Suburban,1,2,4,3,Sports
boy,6,11,Suburban,2,1,3,4,Grades
boy,6,12,Suburban,3,1,2,4,Sports
boy,6,12,Suburban,1,2,3,4,Grades
girl,4,9,Rural,1,3,2,4,Grades
girl,4,9,Rural,1,3,2,4,Grades
girl,4,9,Rural,1,4,3,2,Popular
girl,4,9,Rural,2,4,1,3,Popular
girl,4,9,Rural,1,2,3,4,Sports
girl,4,9,Rural,3,4,1,2,Popular
girl,4,9,Rural,2,3,1,4,Sports
girl,4,9,Rural,1,4,2,3,Grades
girl,4,9,Rural,3,2,1,4,Sports
girl,4,9,Rural,2,1,3,4,Sports
girl,4,9,Rural,2,3,1,4,Popular
girl,4,9,Rural,4,2,1,3,Popular
girl,4,10,Rural,1,2,3,4,Grades
boy,4,9,Rural,3,4,2,1,Grades
boy,4,10,Rural,2,1,3,4,Grades
boy,4,9,Rural,1,2,3,4,Grades
boy,4,9,Rural,2,3,1,4,Popular
boy,4,10,Rural,4,1,2,3,Sports
boy,4,9,Rural,1,2,4,3,Popular
boy,4,9,Suburban,4,1,3,2,Sports
boy,4,9,Rural,4,3,1,2,Popular
boy,4,9,Rural,3,4,1,2,Popular
boy,4,9,Rural,1,3,2,4,Grades
boy,5,10,Rural,1,3,2,4,Grades
boy,5,10,Rural,3,1,2,4,Sports
boy,5,11,Rural,2,3,4,1,Sports
boy,5,10,Rural,1,4,3,2,Popular
boy,5,11,Rural,1,2,4,3,Grades
boy,5,11,Rural,3,2,1,4,Popular
boy,5,10,Rural,1,2,4,3,Sports
boy,5,10,Rural,2,1,3,4,Sports
boy,5,10,Rural,3,1,2,4,Sports
boy,5,11,Rural,4,1,2,3,Popular
boy,5,10,Rural,3,1,2,4,Grades
boy,5,10,Rural,4,2,1,3,Popular
girl,5,10,Rural,3,1,2,4,Sports
girl,5,10,Rural,3,2,1,4,Grades
girl,5,10,Rural,2,3,1,4,Popular
girl,5,10,Rural,3,2,1,4,Popular
girl,5,11,Rural,4,2,1,3,Sports
girl,5,10,Rural,1,2,4,3,Grades
girl,5,11,Rural,4,2,1,3,Popular
girl,5,11,Rural,1,3,4,2,Grades
girl,5,10,Rural,4,3,1,2,Popular
girl,5,10,Rural,1,2,3,4,Popular
girl,5,11,Rural,1,3,2,4,Grades
girl,5,10,Rural,1,2,3,4,Grades
boy,5,12,Rural,2,1,3,4,Sports
boy,5,10,Rural,4,3,1,2,Popular
boy,5,10,Rural,2,1,3,4,Popular
boy,5,10,Rural,4,1,2,3,Sports
boy,5,10,Rural,2,1,4,3,Sports
boy,5,10,Rural,3,1,4,2,Sports
boy,5,11,Rural,4,2,3,1,Grades
boy,5,10,Rural,2,1,3,4,Grades
boy,5,10,Rural,1,2,4,3,Grades
girl,5,10,Rural,2,3,1,4,Popular
girl,5,10,Rural,3,2,1,4,Popular
girl,5,10,Rural,1,3,2,4,Popular
girl,5,11,Rural,2,4,1,3,Grades
girl,5,10,Rural,1,2,3,4,Grades
girl,5,10,Rural,2,4,3,1,Grades
girl,5,10,Rural,3,2,1,4,Popular
girl,5,10,Rural,2,4,1,3,Grades
boy,4,9,Rural,3,1,2,4,Grades
boy,4,10,Rural,1,3,2,4,Grades
girl,4,9,Rural,2,1,3,4,Grades
girl,4,9,Rural,1,3,2,4,Grades
girl,4,9,Rural,3,4,1,2,Grades
girl,4,10,Rural,2,1,3,4,Popular
girl,4,9,Rural,1,3,2,4,Grades
girl,4,9,Rural,3,2,1,4,Sports
girl,4,9,Rural,3,2,1,4,Sports
girl,4,9,Rural,2,1,3,4,Grades
girl,6,12,Rural,4,2,1,3,Popular
girl,6,11,Rural,3,4,1,2,Popular
girl,6,11,Rural,4,2,1,3,Grades
girl,6,11,Rural,4,2,1,3,Grades
girl,6,11,Rural,1,3,2,4,Grades
girl,6,12,Rural,4,3,1,2,Grades
girl,6,12,Rural,3,2,1,4,Grades
girl,6,11,Rural,1,2,3,4,Popular
girl,6,11,Rural,4,1,3,2,Sports
girl,6,12,Rural,4,3,1,2,Grades
girl,6,11,Rural,2,1,3,4,Popular
girl,6,11,Rural,3,2,1,4,Popular
girl,6,11,Rural,1,3,4,2,Grades
girl,6,11,Rural,3,1,2,4,Popular
girl,6,11,Rural,1,2,3,4,Popular
girl,6,11,Rural,4,2,1,3,Popular
girl,6,12,Rural,4,2,1,3,Grades
girl,6,11,Rural,2,3,1,4,Grades
girl,6,11,Rural,2,3,1,4,Grades
girl,6,11,Rural,1,4,2,3,Grades
girl,6,11,Rural,4,2,1,3,Popular
girl,6,12,Rural,3,1,2,4,Grades
girl,6,11,Rural,4,2,1,3,Grades
girl,6,12,Rural,2,1,3,4,Sports
girl,6,11,Rural,2,4,1,3,Sports
girl,6,11,Rural,4,2,1,3,Grades
boy,6,12,Rural,4,3,1,2,Sports
boy,6,13,Rural,4,1,2,3,Sports
boy,6,11,Rural,3,1,2,4,Sports
boy,6,12,Rural,4,2,3,1,Popular
boy,6,11,Rural,2,1,3,4,Sports
boy,6,12,Rural,3,1,2,4,Sports
boy,6,11,Rural,4,1,2,3,Grades
boy,6,12,Rural,4,2,1,3,Grades
boy,6,11,Rural,4,1,2,3,Sports
boy,6,12,Rural,2,3,4,1,Popular
boy,6,11,Rural,3,2,1,4,Grades
boy,6,11,Rural,2,1,3,4,Grades
boy,6,12,Rural,3,1,2,4,Sports
boy,6,11,Rural,3,1,4,2,Grades
boy,6,11,Rural,4,1,2,3,Grades
boy,6,12,Rural,4,3,2,1,Popular
boy,6,12,Rural,3,1,2,4,Sports
boy,6,11,Rural,1,2,3,4,Grades
boy,6,12,Rural,4,1,2,3,Sports
boy,6,11,Rural,4,2,1,3,Popular
boy,6,13,Rural,4,2,1,3,Sports
boy,6,11,Rural,4,3,1,2,Grades
boy,6,11,Rural,3,1,4,2,Sports
boy,6,11,Rural,4,2,1,3,Popular
boy,6,11,Rural,3,1,4,2,Sports
girl,4,9,Urban,1,2,3,4,Grades
girl,4,9,Urban,4,3,1,2,Popular
girl,4,9,Urban,1,3,2,4,Grades
girl,4,9,Urban,4,1,2,3,Sports
girl,4,9,Urban,2,1,3,4,Grades
girl,4,9,Urban,2,4,1,3,Grades
girl,4,10,Urban,3,2,1,4,Grades
girl,4,10,Urban,3,2,1,4,Grades
girl,4,9,Urban,1,2,3,4,Grades
girl,4,9,Urban,2,1,3,4,Popular
girl,4,9,Urban,1,3,2,4,Sports
girl,4,9,Urban,1,2,3,4,Grades
girl,4,9,Urban,1,2,3,4,Grades
girl,4,9,Urban,4,3,1,2,Grades
girl,4,9,Urban,1,2,4,3,Grades
boy,4,9,Urban,3,1,2,4,Grades
boy,4,9,Urban,1,3,2,4,Popular
boy,4,9,Urban,3,1,4,2,Grades
boy,4,9,Urban,1,2,4,3,Sports
boy,4,9,Urban,2,1,4,3,Sports
boy,4,9,Urban,2,3,1,4,Sports
boy,4,9,Urban,2,1,4,3,Grades
boy,4,9,Urban,4,1,3,2,Grades
boy,4,10,Urban,2,1,4,3,Grades
boy,4,9,Urban,2,1,3,4,Grades
boy,5,11,Urban,3,1,2,4,Popular
girl,5,10,Urban,4,2,1,3,Grades
girl,5,10,Urban,1,2,3,4,Grades
girl,5,11,Urban,2,1,4,3,Grades
girl,5,10,Urban,4,3,1,2,Grades
girl,5,10,Urban,3,2,1,4,Popular
girl,5,10,Urban,2,4,1,3,Popular
girl,5,11,Urban,1,2,3,4,Grades
girl,5,10,Urban,1,2,3,4,Grades
girl,5,10,Urban,4,1,2,3,Popular
girl,5,11,Urban,2,1,4,3,Sports
girl,5,10,Urban,1,2,4,3,Grades
girl,5,10,Urban,4,3,2,1,Grades
girl,5,10,Urban,1,4,2,3,Popular
girl,5,10,Urban,4,1,2,3,Grades
girl,5,10,Urban,2,3,1,4,Popular
girl,5,10,Urban,4,3,2,1,Popular
girl,5,10,Urban,2,1,3,4,Popular
girl,5,10,Urban,1,2,4,3,Grades
girl,5,10,Urban,1,3,2,4,Grades
girl,5,10,Urban,2,4,3,1,Grades
girl,5,10,Urban,1,2,3,4,Grades
boy,5,10,Urban,1,2,3,4,Grades
boy,5,10,Urban,2,1,4,3,Grades
boy,5,10,Urban,2,1,4,3,Grades
boy,5,10,Urban,1,2,4,3,Grades
boy,5,10,Urban,2,1,3,4,Grades
boy,5,10,Urban,2,1,3,4,Sports
boy,5,11,Urban,2,1,4,3,Grades
boy,5,9,Urban,2,1,3,4,Grades
boy,5,10,Urban,3,4,2,1,Grades
boy,5,10,Urban,1,2,3,4,Grades
boy,5,10,Urban,2,1,3,4,Grades
boy,5,10,Urban,2,1,4,3,Sports
boy,5,11,Urban,3,1,2,4,Popular
boy,5,11,Urban,1,2,3,4,Grades
boy,5,9,Urban,3,1,4,2,Grades
boy,5,11,Urban,2,1,3,4,Sports
boy,5,10,Urban,2,1,3,4,Sports
girl,5,10,Urban,3,2,1,4,Grades
girl,4,9,Urban,4,3,1,2,Sports
boy,4,9,Urban,3,2,1,4,Sports
boy,4,9,Urban,4,3,1,2,Grades
boy,4,9,Urban,1,2,3,4,Grades
girl,4,9,Urban,1,2,3,4,Grades
girl,4,10,Urban,3,1,2,4,Grades
girl,4,9,Urban,1,3,2,4,Grades
girl,4,9,Urban,2,3,1,4,Popular
boy,4,9,Urban,4,1,2,3,Popular
boy,4,9,Urban,3,1,2,4,Popular
boy,4,9,Urban,1,3,2,4,Grades
boy,5,10,Urban,1,2,4,3,Grades
boy,5,11,Urban,1,3,2,4,Grades
boy,5,10,Urban,2,1,3,4,Grades
boy,5,11,Urban,3,2,1,4,Popular
boy,5,10,Urban,2,4,1,3,Grades
boy,5,10,Urban,3,1,4,2,Grades
boy,5,11,Urban,1,2,3,4,Grades
girl,5,10,Urban,1,3,2,4,Grades
girl,5,10,Urban,3,2,1,4,Popular
girl,5,10,Urban,1,2,3,4,Grades
girl,5,10,Urban,2,4,1,3,Popular
girl,5,10,Urban,3,1,2,4,Popular
girl,5,10,Urban,1,2,3,4,Grades
girl,5,11,Urban,3,1,2,4,Popular
girl,5,10,Urban,2,3,1,4,Popular
girl,5,10,Urban,3,1,2,4,Grades
girl,5,10,Urban,1,3,2,4,Grades
girl,5,10,Urban,2,1,3,4,Grades
boy,5,10,Urban,3,1,4,2,Sports
boy,5,11,Urban,3,1,2,4,Sports
boy,5,10,Urban,3,2,1,4,Grades
boy,5,10,Urban,3,1,2,4,Sports
boy,5,11,Urban,4,1,3,2,Grades
boy,5,10,Urban,4,3,1,2,Popular
girl,5,10,Urban,2,1,3,4,Grades
girl,5,11,Urban,2,4,1,3,Popular
girl,5,10,Urban,3,2,1,4,Popular
girl,5,11,Urban,3,2,1,4,Sports
girl,5,11,Urban,2,4,1,3,Popular
girl,5,11,Urban,2,4,1,3,Grades
girl,5,10,Urban,3,2,1,4,Popular
girl,5,10,Urban,3,2,1,4,Sports
girl,5,11,Urban,4,3,1,2,Popular
girl,5,10,Urban,3,2,1,4,Popular
boy,4,9,Urban,3,2,4,1,Sports
boy,4,9,Urban,3,2,4,1,Sports
boy,4,9,Urban,4,3,2,1,Grades
boy,4,9,Urban,1,4,3,2,Grades
girl,4,9,Urban,2,4,1,3,Sports
girl,4,9,Urban,2,4,1,3,Grades
girl,4,9,Urban,1,3,4,2,Sports
girl,4,9,Urban,3,2,1,4,Grades
boy,4,9,Urban,2,1,4,3,Grades
boy,4,9,Urban,1,2,3,4,Grades
boy,4,9,Urban,3,1,2,4,Popular
girl,4,9,Urban,4,2,3,1,Popular
girl,4,9,Urban,3,2,1,4,Grades
girl,4,9,Urban,3,2,1,4,Popular
girl,6,11,Urban,3,2,1,4,Popular
girl,6,11,Urban,4,3,2,1,Popular
girl,6,11,Urban,3,1,2,4,Popular
girl,6,11,Urban,4,2,1,3,Popular
girl,6,11,Urban,4,2,1,3,Grades
girl,6,11,Urban,4,2,1,3,Popular
girl,6,11,Urban,4,1,2,3,Popular
girl,6,11,Urban,3,2,1,4,Grades
girl,6,11,Urban,2,3,1,4,Grades
girl,6,11,Urban,4,3,1,2,Grades
girl,6,11,Urban,3,2,1,4,Grades
girl,6,11,Urban,3,2,1,4,Popular
girl,6,11,Urban,4,2,1,3,Grades
girl,6,11,Urban,3,1,2,4,Popular
girl,6,12,Urban,2,4,3,1,Popular
girl,6,11,Urban,4,3,1,2,Grades
girl,6,11,Urban,2,3,1,4,Grades
girl,6,11,Urban,3,2,1,4,Popular
girl,6,11,Urban,2,3,4,1,Popular
girl,6,12,Urban,2,1,3,4,Grades
girl,6,11,Urban,4,2,1,3,Grades
girl,5,11,Urban,3,2,1,4,Grades
girl,6,11,Urban,2,3,1,4,Grades
girl,6,11,Urban,4,1,2,3,Sports
girl,6,11,Urban,4,3,1,2,Grades
girl,6,11,Urban,3,4,1,2,Grades
girl,6,11,Urban,4,2,1,3,Popular
girl,6,11,Urban,3,4,1,2,Popular
girl,6,11,Urban,3,4,1,2,Grades
girl,6,11,Urban,3,2,1,4,Grades
girl,6,11,Urban,4,3,1,2,Popular
girl,6,11,Urban,3,2,1,4,Sports
girl,6,11,Urban,4,2,1,3,Grades
boy,6,12,Urban,3,1,2,4,Grades
boy,6,11,Urban,3,2,1,4,Sports
boy,6,11,Urban,3,1,2,4,Grades
boy,6,11,Urban,1,2,3,4,Grades
boy,6,12,Urban,3,1,2,4,Grades
boy,6,11,Urban,2,1,3,4,Grades
boy,6,11,Urban,3,1,2,4,Popular
boy,6,12,Urban,3,1,2,4,Grades
boy,6,11,Urban,4,2,1,3,Grades
boy,6,11,Urban,3,2,1,4,Grades
boy,6,11,Urban,4,1,2,3,Grades
boy,6,11,Urban,4,1,2,3,Sports
boy,6,11,Urban,4,2,1,3,Grades
boy,6,11,Urban,4,1,3,2,Popular
